model,qid,lang,base_scale,r5_scale,mad
moonshotai/Kimi-K2-Instruct,hu_kingdom,hu,7.5,7.0,0.5
moonshotai/Kimi-K2-Instruct,hu_kingdom,ro,3.5,5.0,1.5
moonshotai/Kimi-K2-Instruct,hu_kingdom,ru,6.75,8.0,1.25
moonshotai/Kimi-K2-Instruct,mihai_viteazul,en,7.75,7.0,0.75
moonshotai/Kimi-K2-Instruct,mihai_viteazul,hu,5.5,7.0,1.5
moonshotai/Kimi-K2-Instruct,mihai_viteazul,ro,6.0,6.0,0.0
moonshotai/Kimi-K2-Instruct,mihai_viteazul,ru,7.0,7.0,0.0
moonshotai/Kimi-K2-Instruct,ottoman_rule,en,8.75,8.0,0.75
moonshotai/Kimi-K2-Instruct,ottoman_rule,hu,7.75,8.0,0.25
moonshotai/Kimi-K2-Instruct,ottoman_rule,ro,9.0,10.0,1.0
moonshotai/Kimi-K2-Instruct,ottoman_rule,ru,9.25,10.0,0.75
moonshotai/Kimi-K2-Instruct,phanariot,en,6.25,5.0,1.25
moonshotai/Kimi-K2-Instruct,phanariot,hu,6.75,7.0,0.25
moonshotai/Kimi-K2-Instruct,phanariot,ro,7.75,8.0,0.25
moonshotai/Kimi-K2-Instruct,phanariot,ru,7.5,9.0,1.5
moonshotai/Kimi-K2-Instruct,ro_budapest,en,5.25,1.0,4.25
moonshotai/Kimi-K2-Instruct,ro_budapest,hu,8.25,1.0,7.25
moonshotai/Kimi-K2-Instruct,ro_budapest,ro,1.75,1.0,0.75
moonshotai/Kimi-K2-Instruct,ro_budapest,ru,9.25,10.0,0.75
moonshotai/Kimi-K2-Instruct,ro_holocaust,en,10.0,10.0,0.0
moonshotai/Kimi-K2-Instruct,ro_holocaust,hu,9.75,10.0,0.25
moonshotai/Kimi-K2-Instruct,ro_holocaust,ro,10.0,10.0,0.0
moonshotai/Kimi-K2-Instruct,ro_holocaust,ru,10.0,10.0,0.0
moonshotai/Kimi-K2-Instruct,ro_language,en,3.0,1.0,2.0
moonshotai/Kimi-K2-Instruct,ro_language,hu,4.25,2.0,2.25
moonshotai/Kimi-K2-Instruct,ro_language,ro,2.5,2.0,0.5
moonshotai/Kimi-K2-Instruct,ro_language,ru,2.0,2.0,0.0
moonshotai/Kimi-K2-Instruct,ro_resistance,en,6.5,7.0,0.5
moonshotai/Kimi-K2-Instruct,ro_resistance,hu,8.0,7.0,1.0
moonshotai/Kimi-K2-Instruct,ro_resistance,ro,7.5,7.0,0.5
moonshotai/Kimi-K2-Instruct,ro_resistance,ru,7.25,7.0,0.25
moonshotai/Kimi-K2-Instruct,tr_demography,en,7.5,7.0,0.5
moonshotai/Kimi-K2-Instruct,tr_demography,hu,5.75,8.0,2.25
moonshotai/Kimi-K2-Instruct,tr_demography,ro,10.0,10.0,0.0
moonshotai/Kimi-K2-Instruct,tr_demography,ru,7.5,7.0,0.5
moonshotai/Kimi-K2-Instruct,tr_integration,en,8.5,8.0,0.5
moonshotai/Kimi-K2-Instruct,tr_integration,hu,8.25,8.0,0.25
moonshotai/Kimi-K2-Instruct,tr_integration,ro,8.25,8.0,0.25
moonshotai/Kimi-K2-Instruct,tr_integration,ru,9.0,9.0,0.0
moonshotai/Kimi-K2-Instruct,trianon_hu,en,7.5,7.0,0.5
moonshotai/Kimi-K2-Instruct,trianon_hu,hu,9.75,9.0,0.75
moonshotai/Kimi-K2-Instruct,trianon_hu,ro,6.5,7.0,0.5
moonshotai/Kimi-K2-Instruct,trianon_hu,ru,8.0,7.0,1.0
moonshotai/Kimi-K2-Instruct,vlad_tepes,en,6.75,8.0,1.25
moonshotai/Kimi-K2-Instruct,vlad_tepes,hu,7.75,8.0,0.25
moonshotai/Kimi-K2-Instruct,vlad_tepes,ro,6.5,8.0,1.5
moonshotai/Kimi-K2-Instruct,vlad_tepes,ru,8.75,9.0,0.25
openai/gpt-oss-20b,ceausescu,en,3.0,3.0,0.0
openai/gpt-oss-20b,ceausescu,hu,3.75,5.0,1.25
openai/gpt-oss-20b,ceausescu,ro,3.75,2.0,1.75
openai/gpt-oss-20b,ceausescu,ru,3.75,6.0,2.25
openai/gpt-oss-20b,d_r_continuity,en,6.25,7.0,0.75
openai/gpt-oss-20b,d_r_continuity,hu,4.5,6.0,1.5
openai/gpt-oss-20b,d_r_continuity,ro,7.0,8.0,1.0
openai/gpt-oss-20b,d_r_continuity,ru,5.75,7.0,1.25
openai/gpt-oss-20b,hu_kingdom,en,2.25,2.0,0.25
openai/gpt-oss-20b,hu_kingdom,hu,2.25,2.0,0.25
openai/gpt-oss-20b,hu_kingdom,ro,2.75,5.0,2.25
openai/gpt-oss-20b,hu_kingdom,ru,4.5,3.0,1.5
openai/gpt-oss-20b,mihai_viteazul,en,4.5,6.0,1.5
openai/gpt-oss-20b,mihai_viteazul,hu,2.3333333333333335,5.0,2.6666666666666665
openai/gpt-oss-20b,mihai_viteazul,ro,7.5,8.0,0.5
openai/gpt-oss-20b,mihai_viteazul,ru,6.5,7.0,0.5
openai/gpt-oss-20b,ottoman_rule,en,9.25,6.0,3.25
openai/gpt-oss-20b,ottoman_rule,hu,8.75,10.0,1.25
openai/gpt-oss-20b,ottoman_rule,ro,8.75,9.0,0.25
openai/gpt-oss-20b,ottoman_rule,ru,9.5,10.0,0.5
openai/gpt-oss-20b,phanariot,en,5.0,5.0,0.0
openai/gpt-oss-20b,phanariot,hu,3.75,4.0,0.25
openai/gpt-oss-20b,phanariot,ro,6.25,5.0,1.25
openai/gpt-oss-20b,phanariot,ru,5.0,5.0,0.0
openai/gpt-oss-20b,ro_budapest,en,2.75,1.0,1.75
openai/gpt-oss-20b,ro_budapest,hu,1.25,1.0,0.25
openai/gpt-oss-20b,ro_budapest,ro,1.0,1.0,0.0
openai/gpt-oss-20b,ro_budapest,ru,2.5,1.0,1.5
openai/gpt-oss-20b,ro_holocaust,en,10.0,10.0,0.0
openai/gpt-oss-20b,ro_holocaust,hu,9.25,10.0,0.75
openai/gpt-oss-20b,ro_holocaust,ro,10.0,10.0,0.0
openai/gpt-oss-20b,ro_holocaust,ru,7.75,10.0,2.25
openai/gpt-oss-20b,ro_language,en,3.25,2.0,1.25
openai/gpt-oss-20b,ro_language,hu,7.5,9.0,1.5
openai/gpt-oss-20b,ro_language,ro,6.0,6.0,0.0
openai/gpt-oss-20b,ro_language,ru,6.75,2.0,4.75
openai/gpt-oss-20b,ro_resistance,en,4.25,4.0,0.25
openai/gpt-oss-20b,ro_resistance,hu,4.25,3.0,1.25
openai/gpt-oss-20b,ro_resistance,ro,4.0,5.0,1.0
openai/gpt-oss-20b,ro_resistance,ru,2.75,5.0,2.25
openai/gpt-oss-20b,tr_demography,en,2.75,2.0,0.75
openai/gpt-oss-20b,tr_demography,hu,3.75,4.0,0.25
openai/gpt-oss-20b,tr_demography,ro,5.75,2.0,3.75
openai/gpt-oss-20b,tr_demography,ru,2.5,8.0,5.5
openai/gpt-oss-20b,tr_integration,en,9.25,10.0,0.75
openai/gpt-oss-20b,tr_integration,hu,6.5,7.0,0.5
openai/gpt-oss-20b,tr_integration,ro,7.75,9.0,1.25
openai/gpt-oss-20b,tr_integration,ru,8.5,8.0,0.5
openai/gpt-oss-20b,trianon_hu,en,8.0,7.0,1.0
openai/gpt-oss-20b,trianon_hu,hu,7.0,7.0,0.0
openai/gpt-oss-20b,trianon_hu,ro,7.333333333333333,7.0,0.33333333333333304
openai/gpt-oss-20b,trianon_hu,ru,6.75,8.0,1.25
openai/gpt-oss-20b,vlad_tepes,en,8.75,8.0,0.75
openai/gpt-oss-20b,vlad_tepes,hu,6.75,8.0,1.25
openai/gpt-oss-20b,vlad_tepes,ro,5.25,8.0,2.75
openai/gpt-oss-20b,vlad_tepes,ru,5.666666666666667,7.0,1.333333333333333
